Expiry_Days,Strike_K,Moneyness_%,Implied_Vol_%,Call_Price_$,Delta,Gamma,Vega,Theta,1x2_Net_Debit_$
60,60125.0,-7.5,55.93,8708.58,0.6891,2.4e-05,93.0862,-48.3304,-3711.67
60,61750.0,-5.0,55.58,7735.72,0.6468,2.5e-05,97.9326,-50.0578,-3637.55
60,63375.0,-2.5,55.27,6838.4,0.6032,2.6e-05,101.5969,-51.2276,-3572.54
60,65000.0,0.0,55.0,6016.84,0.559,2.7e-05,103.9856,-51.813,-3516.0
60,66625.0,2.5,54.77,5270.1,0.5147,2.8e-05,105.065,-51.8129,-3467.35
60,68250.0,5.0,54.57,4596.21,0.471,2.8e-05,104.8585,-51.2501,-3426.04
60,69875.0,7.5,54.41,3992.23,0.4285,2.7e-05,103.4413,-50.1681,-3391.59
60,71500.0,10.0,54.27,3454.5,0.3875,2.7e-05,100.9303,-48.6265,-3363.54
60,73125.0,12.5,54.17,2978.76,0.3486,2.6e-05,97.4729,-46.6961,-3341.49
60,74750.0,15.0,54.09,2560.36,0.312,2.5e-05,93.2356,-44.454,-3325.06
60,76375.0,17.5,54.04,2194.45,0.2779,2.4e-05,88.3924,-41.9783,-3313.88
60,78000.0,20.0,54.01,1876.09,0.2465,2.2e-05,83.1152,-39.3449,-3307.65
